n_0,n_1,n_2,n_3,target
77,81,79,77,76
81,79,77,76,74
79,77,76,74,77
77,76,74,77,74
76,74,77,74,76
74,77,74,76,72
77,74,76,72,74
74,76,72,74,72
76,72,74,72,71
72,74,72,71,69
74,72,71,69,67
72,71,69,67,71
71,69,67,71,69
69,67,71,69,67
67,71,69,67,69
71,69,67,69,71
69,67,69,71,72
67,69,71,72,74
69,71,72,74,72
71,72,74,72,69
72,74,72,69,67
74,72,69,67,69
72,69,67,69,65
69,67,69,65,67
67,69,65,67,65
69,65,67,65,64
65,67,65,64,60
67,65,64,60,64
65,64,60,64,65
64,60,64,65,69
60,64,65,69,72
64,65,69,72,71
65,69,72,71,74
69,72,71,74,76
72,71,74,76,74
71,74,76,74,71
74,76,74,71,72
76,74,71,72,74
74,71,72,74,72
71,72,74,72,71
72,74,72,71,72
74,72,71,72,71
72,71,72,71,67
71,72,71,67,71
72,71,67,71,74
71,67,71,74,72
67,71,74,72,74
71,74,72,74,71
80,82,84,86,87
82,84,86,87,86
84,86,87,86,84
86,87,86,84,82
87,86,84,82,79
86,84,82,79,80
84,82,79,80,84
82,79,80,84,82
79,80,84,82,80
80,84,82,80,82
84,82,80,82,84
82,80,82,84,86
80,82,84,86,84
82,84,86,84,82
84,86,84,82,80
86,84,82,80,84
84,82,80,84,86
82,80,84,86,84
80,84,86,84,80
84,86,84,80,82
86,84,80,82,80
84,80,82,80,84
80,82,80,84,87
82,80,84,87,87
80,84,87,87,87
84,87,87,87,86
87,87,87,86,87
87,87,86,87,84
87,86,87,84,86
86,87,84,86,87
87,84,86,87,87
84,86,87,87,87
86,87,87,87,86
87,87,87,86,82
87,87,86,82,80
87,86,82,80,82
86,82,80,82,80
82,80,82,80,84
80,82,80,84,82
82,80,84,82,86
80,84,82,86,84
84,82,86,84,87
82,86,84,87,87
86,84,87,87,87
84,87,87,87,84
87,87,87,84,87
87,87,84,87,87
87,84,87,87,86
84,87,87,86,87
87,87,86,87,86
87,86,87,86,84
86,87,86,84,82
87,86,84,82,84
86,84,82,84,80
84,82,84,80,82
82,84,80,82,84
84,80,82,84,82
80,82,84,82,86
82,84,82,86,87
84,82,86,87,87
82,86,87,87,87
86,87,87,87,87
87,87,87,87,84
87,87,87,84,82
87,87,84,82,80
87,84,82,80,82
84,82,80,82,79
82,80,82,79,80
80,82,79,80,84
82,79,80,84,86
79,80,84,86,84
80,84,86,84,82
84,86,84,82,84
86,84,82,84,82
84,82,84,82,84
82,84,82,84,82
67,64,65,62,60
64,65,62,60,60
65,62,60,60,62
62,60,60,62,64
60,60,62,64,65
60,62,64,65,69
62,64,65,69,72
64,65,69,72,76
65,69,72,76,77
69,72,76,77,81
72,76,77,81,77
76,77,81,77,79
77,81,77,79,81
81,77,79,81,79
77,79,81,79,81
79,81,79,81,79
81,79,81,79,81
79,81,79,81,84
81,79,81,84,83
79,81,84,83,81
81,84,83,81,77
84,83,81,77,79
83,81,77,79,81
81,77,79,81,83
77,79,81,83,81
79,81,83,81,77
81,83,81,77,74
83,81,77,74,76
81,77,74,76,74
77,74,76,74,72
74,76,74,72,69
76,74,72,69,65
74,72,69,65,64
72,69,65,64,67
69,65,64,67,64
65,64,67,64,67
64,67,64,67,69
67,64,67,69,71
64,67,69,71,67
67,69,71,67,65
69,71,67,65,62
71,67,65,62,60
67,65,62,60,62
65,62,60,62,60
62,60,62,60,64
60,62,60,64,62
62,60,64,62,64
60,64,62,64,67
64,62,64,67,65
62,64,67,65,67
64,67,65,67,65
67,65,67,65,67
65,67,65,67,65
67,65,67,65,67
65,67,65,67,64
67,65,67,64,62
65,67,64,62,60
67,64,62,60,60
64,62,60,60,62
62,60,60,62,65
60,60,62,65,69
60,62,65,69,72
62,65,69,72,76
65,69,72,76,72
69,72,76,72,76
72,76,72,76,77
76,72,76,77,74
72,76,77,74,76
76,77,74,76,79
77,74,76,79,83
74,76,79,83,84
76,79,83,84,84
79,83,84,84,84
83,84,84,84,83
84,84,84,83,81
84,84,83,81,83
62,64,62,60,60
64,62,60,60,60
62,60,60,60,60
60,60,60,60,64
60,60,60,64,67
60,60,64,67,65
60,64,67,65,64
64,67,65,64,65
67,65,64,65,67
65,64,65,67,65
64,65,67,65,67
65,67,65,67,69
67,65,67,69,67
65,67,69,67,64
67,69,67,64,67
69,67,64,67,69
67,64,67,69,67
64,67,69,67,71
67,69,67,71,72
69,67,71,72,69
67,71,72,69,67
71,72,69,67,64
72,69,67,64,62
69,67,64,62,65
67,64,62,65,67
64,62,65,67,69
62,65,67,69,67
65,67,69,67,69
67,69,67,69,71
69,67,69,71,69
67,69,71,69,72
69,71,69,72,71
71,69,72,71,74
69,72,71,74,72
72,71,74,72,74
71,74,72,74,76
74,72,74,76,72
72,74,76,72,74
74,76,72,74,71
76,72,74,71,72
72,74,71,72,71
74,71,72,71,67
71,72,71,67,64
72,71,67,64,60
71,67,64,60,62
67,64,60,62,64
64,60,62,64,62
60,62,64,62,64
62,64,62,64,65
64,62,64,65,64
62,64,65,64,65
64,65,64,65,67
65,64,65,67,65
64,65,67,65,69
65,67,65,69,65
67,65,69,65,64
65,69,65,64,62
69,65,64,62,60
65,64,62,60,60
64,62,60,60,64
62,60,60,64,62
60,60,64,62,60
60,64,62,60,60
64,62,60,60,62
62,60,60,62,60
60,60,62,60,60
60,62,60,60,62
62,60,60,62,65
60,60,62,65,62
60,62,65,62,65
62,65,62,65,64
65,62,65,64,65
62,65,64,65,62
65,64,65,62,64
64,65,62,64,67
65,62,64,67,65
84,81,83,79,81
81,83,79,81,79
83,79,81,79,81
79,81,79,81,83
81,79,81,83,81
79,81,83,81,84
81,83,81,84,83
83,81,84,83,84
81,84,83,84,84
84,83,84,84,84
83,84,84,84,83
84,84,84,83,79
84,84,83,79,81
84,83,79,81,79
83,79,81,79,77
79,81,79,77,79
81,79,77,79,76
79,77,79,76,74
77,79,76,74,71
79,76,74,71,67
76,74,71,67,64
74,71,67,64,62
71,67,64,62,60
67,64,62,60,60
64,62,60,60,62
62,60,60,62,64
60,60,62,64,67
60,62,64,67,71
62,64,67,71,67
64,67,71,67,65
67,71,67,65,67
71,67,65,67,69
67,65,67,69,72
65,67,69,72,76
67,69,72,76,77
69,72,76,77,79
72,76,77,79,76
76,77,79,76,72
77,79,76,72,74
79,76,72,74,76
76,72,74,76,74
72,74,76,74,71
74,76,74,71,74
76,74,71,74,76
74,71,74,76,72
71,74,76,72,69
74,76,72,69,67
76,72,69,67,65
72,69,67,65,62
69,67,65,62,64
67,65,62,64,60
65,62,64,60,60
62,64,60,60,62
64,60,60,62,65
60,60,62,65,64
60,62,65,64,60
62,65,64,60,60
65,64,60,60,62
64,60,60,62,60
60,60,62,60,60
60,62,60,60,62
62,60,60,62,65
60,60,62,65,64
60,62,65,64,62
62,65,64,62,60
65,64,62,60,60
64,62,60,60,64
62,60,60,64,67
60,60,64,67,65
60,64,67,65,67
64,67,65,67,65
67,65,67,65,62
65,67,65,62,64
67,65,62,64,67
65,62,64,67,71
62,64,67,71,72
65,64,67,65,64
64,67,65,64,62
67,65,64,62,60
65,64,62,60,60
64,62,60,60,60
62,60,60,60,60
60,60,60,60,62
60,60,60,62,64
60,60,62,64,62
60,62,64,62,64
62,64,62,64,62
64,62,64,62,64
62,64,62,64,65
64,62,64,65,62
62,64,65,62,60
64,65,62,60,62
65,62,60,62,60
62,60,62,60,64
60,62,60,64,65
62,60,64,65,69
60,64,65,69,67
64,65,69,67,65
65,69,67,65,62
69,67,65,62,60
67,65,62,60,60
65,62,60,60,62
62,60,60,62,60
60,60,62,60,60
60,62,60,60,60
62,60,60,60,60
60,60,60,60,62
60,60,60,62,64
60,60,62,64,62
60,62,64,62,60
62,64,62,60,64
64,62,60,64,65
62,60,64,65,62
60,64,65,62,64
64,65,62,64,65
65,62,64,65,67
62,64,65,67,71
64,65,67,71,69
65,67,71,69,72
67,71,69,72,71
71,69,72,71,69
69,72,71,69,67
72,71,69,67,69
71,69,67,69,67
69,67,69,67,69
67,69,67,69,71
69,67,69,71,67
67,69,71,67,65
69,71,67,65,67
71,67,65,67,69
67,65,67,69,72
65,67,69,72,71
67,69,72,71,67
69,72,71,67,69
72,71,67,69,71
71,67,69,71,69
67,69,71,69,71
69,71,69,71,72
71,69,71,72,71
69,71,72,71,72
71,72,71,72,71
72,71,72,71,74
71,72,71,74,76
72,71,74,76,77
71,74,76,77,79
74,76,77,79,76
76,77,79,76,74
77,79,76,74,72
79,76,74,72,74
76,74,72,74,72
74,72,74,72,74
72,74,72,74,71
72,73,72,70,67
73,72,70,67,68
72,70,67,68,67
70,67,68,67,68
67,68,67,68,72
68,67,68,72,68
67,68,72,68,70
68,72,68,70,67
72,68,70,67,65
68,70,67,65,68
70,67,65,68,70
67,65,68,70,67
65,68,70,67,68
68,70,67,68,72
70,67,68,72,73
67,68,72,73,75
68,72,73,75,72
72,73,75,72,75
73,75,72,75,77
75,72,75,77,79
72,75,77,79,80
75,77,79,80,79
77,79,80,79,77
79,80,79,77,75
80,79,77,75,77
79,77,75,77,79
77,75,77,79,77
75,77,79,77,79
77,79,77,79,77
79,77,79,77,79
77,79,77,79,75
79,77,79,75,73
77,79,75,73,72
79,75,73,72,70
75,73,72,70,73
73,72,70,73,72
72,70,73,72,73
70,73,72,73,77
73,72,73,77,79
72,73,77,79,75
73,77,79,75,73
77,79,75,73,72
79,75,73,72,70
75,73,72,70,73
73,72,70,73,75
72,70,73,75,73
70,73,75,73,72
73,75,73,72,73
75,73,72,73,77
73,72,73,77,73
72,73,77,73,72
73,77,73,72,73
77,73,72,73,75
73,72,73,75,72
72,73,75,72,75
73,75,72,75,77
75,72,75,77,75
72,75,77,75,77
75,77,75,77,80
77,75,77,80,79
75,77,80,79,77
77,80,79,77,75
80,79,77,75,73
79,77,75,73,70
77,75,73,70,72
75,73,70,72,70
73,70,72,70,68
70,72,70,68,65
72,70,68,65,67
70,68,65,67,68
68,65,67,68,70
65,67,68,70,72
67,68,70,72,68
68,70,72,68,72
70,72,68,72,75
72,68,72,75,79
62,64,65,69,71
64,65,69,71,69
65,69,71,69,67
69,71,69,67,65
71,69,67,65,64
69,67,65,64,62
67,65,64,62,60
65,64,62,60,60
64,62,60,60,62
62,60,60,62,60
60,60,62,60,62
60,62,60,62,60
62,60,62,60,62
60,62,60,62,65
62,60,62,65,64
60,62,65,64,67
62,65,64,67,65
65,64,67,65,69
64,67,65,69,65
67,65,69,65,67
65,69,65,67,65
69,65,67,65,64
65,67,65,64,62
67,65,64,62,65
65,64,62,65,67
64,62,65,67,65
62,65,67,65,67
65,67,65,67,71
67,65,67,71,69
65,67,71,69,71
67,71,69,71,74
71,69,71,74,77
69,71,74,77,79
71,74,77,79,77
74,77,79,77,76
77,79,77,76,77
79,77,76,77,76
77,76,77,76,77
76,77,76,77,79
77,76,77,79,81
76,77,79,81,79
77,79,81,79,81
79,81,79,81,83
81,79,81,83,79
79,81,83,79,83
81,83,79,83,81
83,79,83,81,79
79,83,81,79,76
83,81,79,76,77
81,79,76,77,79
79,76,77,79,83
76,77,79,83,84
77,79,83,84,84
79,83,84,84,81
83,84,84,81,84
84,84,81,84,84
84,81,84,84,84
81,84,84,84,83
84,84,84,83,84
84,84,83,84,84
84,83,84,84,84
83,84,84,84,84
84,84,84,84,81
84,84,84,81,79
84,84,81,79,83
84,81,79,83,84
81,79,83,84,84
79,83,84,84,83
83,84,84,83,84
84,84,83,84,81
84,83,84,81,77
83,84,81,77,74
84,81,77,74,71
81,77,74,71,69
77,74,71,69,72
74,71,69,72,74
63,66,68,66,68
66,68,66,68,72
68,66,68,72,70
66,68,72,70,73
68,72,70,73,75
72,70,73,75,73
70,73,75,73,72
73,75,73,72,73
75,73,72,73,75
73,72,73,75,72
72,73,75,72,73
73,75,72,73,72
75,72,73,72,68
72,73,72,68,72
73,72,68,72,70
72,68,72,70,72
68,72,70,72,73
72,70,72,73,75
70,72,73,75,78
72,73,75,78,77
73,75,78,77,78
75,78,77,78,82
78,77,78,82,85
77,78,82,85,85
78,82,85,85,84
82,85,85,84,80
85,85,84,80,82
85,84,80,82,80
84,80,82,80,82
80,82,80,82,80
82,80,82,80,82
80,82,80,82,84
82,80,82,84,80
80,82,84,80,82
82,84,80,82,78
84,80,82,78,82
80,82,78,82,84
82,78,82,84,85
78,82,84,85,84
82,84,85,84,82
84,85,84,82,84
85,84,82,84,85
84,82,84,85,82
82,84,85,82,84
84,85,82,84,85
85,82,84,85,82
82,84,85,82,80
84,85,82,80,82
85,82,80,82,84
82,80,82,84,85
80,82,84,85,85
82,84,85,85,85
84,85,85,85,85
85,85,85,85,84
85,85,85,84,82
85,85,84,82,80
85,84,82,80,82
84,82,80,82,80
82,80,82,80,78
80,82,80,78,77
82,80,78,77,78
80,78,77,78,77
78,77,78,77,78
77,78,77,78,75
78,77,78,75,72
77,78,75,72,73
78,75,72,73,75
75,72,73,75,77
72,73,75,77,78
73,75,77,78,80
75,77,78,80,77
77,78,80,77,75
78,80,77,75,77
80,77,75,77,75
77,75,77,75,72
75,77,75,72,70
69,65,64,67,64
65,64,67,64,67
64,67,64,67,65
67,64,67,65,67
64,67,65,67,69
67,65,67,69,67
65,67,69,67,64
67,69,67,64,60
69,67,64,60,62
67,64,60,62,64
64,60,62,64,67
60,62,64,67,69
62,64,67,69,71
64,67,69,71,74
67,69,71,74,77
69,71,74,77,74
71,74,77,74,76
74,77,74,76,77
77,74,76,77,76
74,76,77,76,74
76,77,76,74,71
77,76,74,71,74
76,74,71,74,71
74,71,74,71,69
71,74,71,69,67
74,71,69,67,69
71,69,67,69,67
69,67,69,67,65
67,69,67,65,64
69,67,65,64,60
67,65,64,60,62
65,64,60,62,60
64,60,62,60,62
60,62,60,62,60
62,60,62,60,60
60,62,60,60,60
62,60,60,60,60
60,60,60,60,62
60,60,60,62,64
60,60,62,64,62
60,62,64,62,65
62,64,62,65,64
64,62,65,64,65
62,65,64,65,64
65,64,65,64,62
64,65,64,62,60
65,64,62,60,60
64,62,60,60,64
62,60,60,64,65
60,60,64,65,69
60,64,65,69,67
64,65,69,67,65
65,69,67,65,67
69,67,65,67,69
67,65,67,69,67
65,67,69,67,64
67,69,67,64,65
69,67,64,65,64
67,64,65,64,65
64,65,64,65,67
65,64,65,67,65
64,65,67,65,69
65,67,65,69,72
67,65,69,72,71
65,69,72,71,74
69,72,71,74,72
72,71,74,72,74
71,74,72,74,72
74,72,74,72,71
72,74,72,71,72
74,72,71,72,76
72,71,72,76,74
71,72,76,74,71
72,76,74,71,72
76,74,71,72,71
74,71,72,71,67
60,58,56,60,58
58,56,60,58,56
56,60,58,56,58
60,58,56,58,56
58,56,58,56,56
56,58,56,56,60
58,56,56,60,61
56,56,60,61,63
56,60,61,63,65
60,61,63,65,67
61,63,65,67,68
63,65,67,68,70
65,67,68,70,72
67,68,70,72,70
68,70,72,70,73
70,72,70,73,75
72,70,73,75,77
70,73,75,77,75
73,75,77,75,77
75,77,75,77,75
77,75,77,75,73
75,77,75,73,75
77,75,73,75,79
75,73,75,79,75
73,75,79,75,72
75,79,75,72,73
79,75,72,73,72
75,72,73,72,73
72,73,72,73,72
73,72,73,72,73
72,73,72,73,70
73,72,73,70,72
72,73,70,72,68
73,70,72,68,70
70,72,68,70,67
72,68,70,67,65
68,70,67,65,63
70,67,65,63,67
67,65,63,67,65
65,63,67,65,63
63,67,65,63,60
67,65,63,60,58
65,63,60,58,61
63,60,58,61,60
60,58,61,60,56
58,61,60,56,56
61,60,56,56,56
60,56,56,56,56
56,56,56,56,58
56,56,56,58,60
56,56,58,60,56
56,58,60,56,56
58,60,56,56,56
60,56,56,56,58
56,56,56,58,60
56,56,58,60,58
56,58,60,58,56
58,60,58,56,60
60,58,56,60,61
58,56,60,61,60
56,60,61,60,56
60,61,60,56,58
61,60,56,58,60
60,56,58,60,61
56,58,60,61,58
58,60,61,58,60
60,61,58,60,58
61,58,60,58,56
58,60,58,56,56
60,58,56,56,58
58,56,56,58,60
56,56,58,60,61
56,58,60,61,58
58,60,61,58,60
60,61,58,60,58
61,58,60,58,60
81,79,76,77,76
79,76,77,76,79
76,77,76,79,77
77,76,79,77,76
76,79,77,76,79
79,77,76,79,81
77,76,79,81,84
76,79,81,84,82
79,81,84,82,84
81,84,82,84,86
84,82,84,86,82
82,84,86,82,81
84,86,82,81,77
86,82,81,77,81
82,81,77,81,77
81,77,81,77,76
77,81,77,76,72
81,77,76,72,76
77,76,72,76,74
76,72,76,74,76
72,76,74,76,79
76,74,76,79,77
74,76,79,77,79
76,79,77,79,77
79,77,79,77,79
77,79,77,79,82
79,77,79,82,81
77,79,82,81,79
79,82,81,79,81
82,81,79,81,82
81,79,81,82,84
79,81,82,84,81
81,82,84,81,82
82,84,81,82,79
84,81,82,79,82
81,82,79,82,84
82,79,82,84,81
79,82,84,81,82
82,84,81,82,84
84,81,82,84,86
81,82,84,86,84
82,84,86,84,86
84,86,84,86,88
86,84,86,88,86
84,86,88,86,84
86,88,86,84,86
88,86,84,86,84
86,84,86,84,86
84,86,84,86,82
86,84,86,82,84
84,86,82,84,86
86,82,84,86,84
82,84,86,84,82
84,86,84,82,84
86,84,82,84,82
84,82,84,82,81
82,84,82,81,82
84,82,81,82,84
82,81,82,84,81
81,82,84,81,82
82,84,81,82,86
84,81,82,86,82
81,82,86,82,84
82,86,82,84,86
86,82,84,86,88
82,84,86,88,86
84,86,88,86,88
86,88,86,88,86
88,86,88,86,84
86,88,86,84,86
88,86,84,86,88
86,84,86,88,86
84,86,88,86,84
86,88,86,84,86
88,86,84,86,84
86,84,86,84,82
72,74,72,74,77
74,72,74,77,74
72,74,77,74,72
74,77,74,72,71
77,74,72,71,72
74,72,71,72,76
72,71,72,76,79
71,72,76,79,76
72,76,79,76,72
76,79,76,72,71
79,76,72,71,69
76,72,71,69,65
72,71,69,65,64
71,69,65,64,65
69,65,64,65,64
65,64,65,64,65
64,65,64,65,67
65,64,65,67,71
64,65,67,71,69
65,67,71,69,71
67,71,69,71,72
71,69,71,72,71
69,71,72,71,69
71,72,71,69,71
72,71,69,71,67
71,69,71,67,65
69,71,67,65,69
71,67,65,69,71
67,65,69,71,69
65,69,71,69,72
69,71,69,72,71
71,69,72,71,69
69,72,71,69,71
72,71,69,71,72
71,69,71,72,76
69,71,72,76,77
71,72,76,77,79
72,76,77,79,81
76,77,79,81,79
77,79,81,79,83
79,81,79,83,84
81,79,83,84,84
79,83,84,84,84
83,84,84,84,84
84,84,84,84,84
84,84,84,84,83
84,84,84,83,84
84,84,83,84,84
84,83,84,84,81
83,84,84,81,79
84,84,81,79,81
84,81,79,81,83
81,79,81,83,81
79,81,83,81,83
81,83,81,83,84
83,81,83,84,83
81,83,84,83,79
83,84,83,79,76
84,83,79,76,72
83,79,76,72,71
79,76,72,71,69
76,72,71,69,71
72,71,69,71,74
71,69,71,74,76
69,71,74,76,74
71,74,76,74,77
74,76,74,77,81
76,74,77,81,77
74,77,81,77,79
77,81,77,79,81
81,77,79,81,84
77,79,81,84,84
79,81,84,84,83
81,84,84,83,84
84,84,83,84,83
84,83,84,83,84
61,60,58,60,58
60,58,60,58,61
58,60,58,61,63
60,58,61,63,65
58,61,63,65,67
61,63,65,67,70
63,65,67,70,68
65,67,70,68,70
67,70,68,70,67
70,68,70,67,65
68,70,67,65,63
70,67,65,63,60
67,65,63,60,58
65,63,60,58,60
63,60,58,60,61
60,58,60,61,65
58,60,61,65,67
60,61,65,67,65
61,65,67,65,63
65,67,65,63,67
67,65,63,67,63
65,63,67,63,60
63,67,63,60,61
67,63,60,61,60
63,60,61,60,56
60,61,60,56,58
61,60,56,58,60
60,56,58,60,61
56,58,60,61,63
58,60,61,63,65
60,61,63,65,63
61,63,65,63,67
63,65,63,67,63
65,63,67,63,67
63,67,63,67,65
67,63,67,65,67
63,67,65,67,70
67,65,67,70,72
65,67,70,72,70
67,70,72,70,72
70,72,70,72,73
72,70,72,73,75
70,72,73,75,72
72,73,75,72,68
73,75,72,68,70
75,72,68,70,73
72,68,70,73,75
68,70,73,75,72
70,73,75,72,70
73,75,72,70,72
75,72,70,72,73
72,70,72,73,72
70,72,73,72,70
72,73,72,70,67
73,72,70,67,70
72,70,67,70,67
70,67,70,67,65
67,70,67,65,67
70,67,65,67,63
67,65,67,63,65
65,67,63,65,67
67,63,65,67,65
63,65,67,65,63
65,67,65,63,65
67,65,63,65,63
65,63,65,63,60
63,65,63,60,61
65,63,60,61,63
63,60,61,63,61
60,61,63,61,60
61,63,61,60,61
63,61,60,61,63
61,60,61,63,67
60,61,63,67,68
61,63,67,68,67
63,67,68,67,65
67,64,60,60,60
64,60,60,60,64
60,60,60,64,65
60,60,64,65,67
60,64,65,67,69
64,65,67,69,65
65,67,69,65,67
67,69,65,67,69
69,65,67,69,71
65,67,69,71,69
67,69,71,69,71
69,71,69,71,74
71,69,71,74,71
69,71,74,71,67
71,74,71,67,69
74,71,67,69,71
71,67,69,71,74
67,69,71,74,72
69,71,74,72,71
71,74,72,71,67
74,72,71,67,64
72,71,67,64,67
71,67,64,67,69
67,64,67,69,67
64,67,69,67,64
67,69,67,64,67
69,67,64,67,65
67,64,67,65,64
64,67,65,64,65
67,65,64,65,62
65,64,65,62,60
64,65,62,60,60
65,62,60,60,60
62,60,60,60,62
60,60,60,62,65
60,60,62,65,64
60,62,65,64,67
62,65,64,67,69
65,64,67,69,71
64,67,69,71,67
67,69,71,67,65
69,71,67,65,67
71,67,65,67,69
67,65,67,69,65
65,67,69,65,64
67,69,65,64,65
69,65,64,65,62
65,64,65,62,65
64,65,62,65,64
65,62,65,64,62
62,65,64,62,60
65,64,62,60,60
64,62,60,60,60
62,60,60,60,62
60,60,60,62,64
60,60,62,64,65
60,62,64,65,62
62,64,65,62,60
64,65,62,60,62
65,62,60,62,60
62,60,62,60,62
60,62,60,62,60
62,60,62,60,62
60,62,60,62,60
62,60,62,60,62
60,62,60,62,60
62,60,62,60,62
60,62,60,62,60
62,60,62,60,60
60,62,60,60,60
62,60,60,60,62
60,60,60,62,65
60,60,62,65,64
60,62,65,64,62
62,65,64,62,65
65,64,62,65,69
71,69,71,74,77
69,71,74,77,79
71,74,77,79,77
74,77,79,77,76
77,79,77,76,74
79,77,76,74,77
77,76,74,77,76
76,74,77,76,77
74,77,76,77,76
77,76,77,76,74
76,77,76,74,76
77,76,74,76,74
76,74,76,74,72
74,76,74,72,71
76,74,72,71,72
74,72,71,72,76
72,71,72,76,72
71,72,76,72,69
72,76,72,69,72
76,72,69,72,71
72,69,72,71,69
69,72,71,69,72
72,71,69,72,71
71,69,72,71,67
69,72,71,67,64
72,71,67,64,65
71,67,64,65,62
67,64,65,62,60
64,65,62,60,60
65,62,60,60,60
62,60,60,60,64
60,60,60,64,62
60,60,64,62,60
60,64,62,60,62
64,62,60,62,64
62,60,62,64,62
60,62,64,62,64
62,64,62,64,60
64,62,64,60,62
62,64,60,62,64
64,60,62,64,65
60,62,64,65,67
62,64,65,67,64
64,65,67,64,60
65,67,64,60,62
67,64,60,62,64
64,60,62,64,62
60,62,64,62,60
62,64,62,60,60
64,62,60,60,60
62,60,60,60,64
60,60,60,64,65
60,60,64,65,69
60,64,65,69,72
64,65,69,72,71
65,69,72,71,67
69,72,71,67,64
72,71,67,64,60
71,67,64,60,64
67,64,60,64,62
64,60,64,62,60
60,64,62,60,64
64,62,60,64,62
62,60,64,62,60
60,64,62,60,62
64,62,60,62,65
62,60,62,65,64
60,62,65,64,60
62,65,64,60,64
65,64,60,64,62
64,60,64,62,65
60,64,62,65,67
64,62,65,67,65
62,65,67,65,64
65,67,65,64,65
67,65,64,65,62
71,69,71,69,67
69,71,69,67,65
71,69,67,65,67
69,67,65,67,69
67,65,67,69,71
65,67,69,71,74
67,69,71,74,71
69,71,74,71,72
71,74,71,72,71
74,71,72,71,69
71,72,71,69,71
72,71,69,71,67
71,69,71,67,65
69,71,67,65,69
71,67,65,69,71
67,65,69,71,72
65,69,71,72,69
69,71,72,69,67
71,72,69,67,64
72,69,67,64,62
69,67,64,62,60
67,64,62,60,60
64,62,60,60,60
62,60,60,60,62
60,60,60,62,60
60,60,62,60,60
60,62,60,60,62
62,60,60,62,64
60,60,62,64,60
60,62,64,60,62
62,64,60,62,60
64,60,62,60,62
60,62,60,62,60
62,60,62,60,60
60,62,60,60,62
62,60,60,62,64
60,60,62,64,65
60,62,64,65,69
62,64,65,69,65
64,65,69,65,64
65,69,65,64,67
69,65,64,67,69
65,64,67,69,67
64,67,69,67,65
67,69,67,65,64
69,67,65,64,62
67,65,64,62,60
65,64,62,60,60
64,62,60,60,60
62,60,60,60,60
60,60,60,60,62
60,60,60,62,60
60,60,62,60,62
60,62,60,62,60
62,60,62,60,60
60,62,60,60,60
62,60,60,60,64
60,60,60,64,65
60,60,64,65,69
60,64,65,69,67
64,65,69,67,65
65,69,67,65,67
69,67,65,67,65
67,65,67,65,67
65,67,65,67,71
67,65,67,71,69
65,67,71,69,72
67,71,69,72,71
71,69,72,71,72
69,72,71,72,71
72,71,72,71,74
71,72,71,74,77
72,71,74,77,74
71,74,77,74,77
74,77,74,77,79
77,74,77,79,77
72,70,72,73,75
70,72,73,75,73
72,73,75,73,75
73,75,73,75,77
75,73,75,77,78
73,75,77,78,80
75,77,78,80,77
77,78,80,77,75
78,80,77,75,72
80,77,75,72,73
77,75,72,73,70
75,72,73,70,66
72,73,70,66,63
73,70,66,63,66
70,66,63,66,65
66,63,66,65,68
63,66,65,68,70
66,65,68,70,72
65,68,70,72,75
68,70,72,75,73
70,72,75,73,75
72,75,73,75,73
75,73,75,73,77
73,75,73,77,78
75,73,77,78,77
73,77,78,77,80
77,78,77,80,77
78,77,80,77,75
77,80,77,75,77
80,77,75,77,75
77,75,77,75,78
75,77,75,78,77
77,75,78,77,73
75,78,77,73,70
78,77,73,70,72
77,73,70,72,68
73,70,72,68,72
70,72,68,72,73
72,68,72,73,72
68,72,73,72,73
72,73,72,73,77
73,72,73,77,80
72,73,77,80,78
73,77,80,78,80
77,80,78,80,84
80,78,80,84,85
78,80,84,85,84
80,84,85,84,80
84,85,84,80,82
85,84,80,82,80
84,80,82,80,78
80,82,80,78,82
82,80,78,82,80
80,78,82,80,78
78,82,80,78,77
82,80,78,77,78
80,78,77,78,82
78,77,78,82,85
77,78,82,85,84
78,82,85,84,82
82,85,84,82,78
85,84,82,78,80
84,82,78,80,84
82,78,80,84,82
78,80,84,82,84
80,84,82,84,85
84,82,84,85,84
82,84,85,84,85
84,85,84,85,84
85,84,85,84,85
84,85,84,85,84
85,84,85,84,85
84,85,84,85,84
85,84,85,84,85
84,85,84,85,84
85,84,85,84,82
76,77,79,81,83
77,79,81,83,84
79,81,83,84,84
81,83,84,84,83
83,84,84,83,84
84,84,83,84,84
84,83,84,84,83
83,84,84,83,81
84,84,83,81,83
84,83,81,83,81
83,81,83,81,79
81,83,81,79,81
83,81,79,81,79
81,79,81,79,81
79,81,79,81,79
81,79,81,79,81
79,81,79,81,83
81,79,81,83,84
79,81,83,84,84
81,83,84,84,84
83,84,84,84,84
84,84,84,84,83
84,84,84,83,81
84,84,83,81,83
84,83,81,83,81
83,81,83,81,83
81,83,81,83,84
83,81,83,84,84
81,83,84,84,81
83,84,84,81,84
84,84,81,84,83
84,81,84,83,81
81,84,83,81,83
84,83,81,83,84
83,81,83,84,81
81,83,84,81,77
83,84,81,77,76
84,81,77,76,77
81,77,76,77,74
77,76,77,74,72
76,77,74,72,69
77,74,72,69,67
74,72,69,67,65
72,69,67,65,67
69,67,65,67,65
67,65,67,65,69
65,67,65,69,67
67,65,69,67,69
65,69,67,69,67
69,67,69,67,64
67,69,67,64,67
69,67,64,67,71
67,64,67,71,67
64,67,71,67,64
67,71,67,64,65
71,67,64,65,64
67,64,65,64,62
64,65,64,62,60
